Aircraft_Type,Check_A_Part_Price,Check_B_Part_Price,Check_C_Part_Price
A319,8.322,60.7,1768.02
A319,9.403,13.77,269.78
A319,7.383,22.77,1943.81
A319,7.149,34.39,1113.36
A319,7.032,50.83,725.7
A319,7.717,14.02,1325.03
A319,9.164,28.69,1162.76
A319,7.627,22.29,1288.72
A319,7.537,48.74,1485.52
A319,9.381,62.09,1648.08
A319,6.447,53.6,1598.2
A319,8.744,65.4,1713.37
A319,9.103,35.79,1756.04
A319,6.928,40.39,1953.71
A319,8.78,58.94,1515.25
A319,6.919,40.33,1022.54
A319,8.357,19.52,1139.99
A319,7.461,45.27,921.08
A319,6.665,37.44,1361.87
A319,7.565,67.23,1121.57
A319,8.294,60.51,2171.91
A319,9.381,48.92,1221.78
A319,8.816,16.68,1122.77
A319,7.693,46.63,1110.85
A319,9.397,45.33,452.81
A319,8.841,52.18,691.63
A319,7.475,66.83,2125.29
A319,6.578,44.48,1280.47
A319,9.51,28.6,1097.59
A319,7.017,51.39,2096.9
A319,8.666,14.98,791.78
A319,6.018,32.04,988.21
A319,6.86,46.29,1989.03
A319,6.03,39.87,2121.31
A319,6.676,64.66,2143.25
A319,7.87,42.59,1731.83
A319,9.402,62.81,1627.54
A319,7.657,11.83,1374.66
A319,8.096,66.76,204.36
A319,6.9,62.61,580.83
A319,8.991,38.73,1096.51
A319,5.725,51.26,1014.52
A319,7.6,55.16,343.45
A319,6.933,55.45,407.62
A319,9.086,29.5,477.56
A319,8.291,62.5,960.39
A319,5.618,67.31,800.12
A319,8.733,31.15,1584.34
A319,7.703,28.89,890.59
A319,7.874,47.8,1460.7
A319,6.718,58.38,521.4
A319,6.464,54.75,485.66
A319,7.766,49.41,740.12
A319,7.426,27.8,715.21
A319,7.071,22.29,1231.81
A319,6.618,65.52,1589.47
A319,8.466,41.22,1092.89
A319,7.832,55.99,714.07
A319,7.034,44.59,215.09
A319,8.991,24.08,1106.92
A319,6.181,20.31,722.32
A319,8.209,64.9,1236.84
A319,7.143,40.14,1225.12
A319,6.701,64.66,509.33
A319,7.896,38.27,344.51
A319,9.27,43.15,873.78
A319,9.396,61.1,619.86
A319,6.037,23.75,837.1
A319,8.473,55.49,1299.17
A319,7.212,11.24,893.28
A319,31.95,65.87,7043.37
A319,6.692,32.97,1495.7
A319,7.559,19.08,1794.78
A319,5.867,51.33,816.16
A319,6.327,50.12,1475.88
A319,7.011,56.06,1549.87
A319,6.329,47.83,354.55
A319,9.089,40.65,286.87
A319,6.377,49.84,983.01
A319,6.376,31.46,369.29
A319,6.112,43.91,2073.24
A319,6.053,41.57,2173.8
A319,8.488,11.64,1373.98
A319,7.443,43.2,1984.02
A319,5.738,30.78,424.37
A319,7.807,13.59,1687.08
A319,9.087,63.59,1625.03
A319,8.971,26.79,2162.07
A319,6.439,25.36,1665.84
A319,7.701,15.16,1432.9
A319,8.266,30.35,844.44
A319,8.519,18.88,1124.78
A319,6.557,67.98,1693.59
A319,6.05,20.14,1881.71
A319,6.152,54.34,1575.28
A319,6.894,58.68,442.48
A319,6.986,39.34,1307
A319,5.644,35.66,606.42
A319,6,29.33,247.9
A319,7.878,51.07,1815.54
A319,31.74,25.86,755.29
A319,21.44,56.82,493.21
A319,8.555,20.84,1575.92
A319,28.85,13,808.11
A319,6.17,37.19,2107.09
A319,6.17,114.77,967.19
A320,17.90871795,64.14848224,2284.777157
A320,11.12495827,50.69107022,1877.978432
A320,14.13270004,34.76809688,1785.912916
A320,9.200748444,50.17601107,1846.208859
A320,13.21379382,28.8700756,768.627743
A320,14.01029761,72.08206043,1462.269068
A320,11.34621801,54.27963927,2102.664646
A320,7.869749959,44.82703469,1709.705214
A320,8.858238271,46.94130918,1623.823777
A320,12.28224068,77.50406462,779.5017019
A320,12.2743479,41.52241408,1929.979644
A320,12.76120707,30.41375242,1870.352836
A320,14.09908045,54.30694398,1278.64279
A320,6.274228012,54.61473897,1234.127239
A320,9.656305376,55.04026762,1396.586753
A320,9.396538528,46.48532778,918.3866833
A320,5.872696642,62.08695533,2134.938769
A320,11.02424145,103.6618815,1292.675928
A320,8.377177631,60.78774155,1520.337462
A320,13.40727347,24.1655535,1551.313923
A320,11.89233803,31.02611431,1144.553448
A320,14.06825125,40.68406876,870.4378566
A320,10.29480323,64.39087967,2364.319921
A320,11.96478877,67.83561473,1373.454
A320,6.360984304,33.48516533,1199.456268
A320,12.01006343,32.5466566,1780.518794
A320,8.275728798,60.86412966,1379.210435
A320,8.711140597,58.24443657,1762.801741
A320,20.27971233,57.71135732,2301.669646
A320,8.626979408,34.0320459,1726.691615
A320,10.07829624,57.94245317,1316.312357
A320,12.29599206,47.41639493,1714.574053
A320,12.32122499,43.13940769,1577.40142
A320,7.600626179,53.48953172,1216.50516
A320,11.60875285,70.30876514,1150.528696
A320,12.09980792,43.88221127,677.772429
A320,10.47248086,30.6925704,782.1381367
A320,14.2212354,29.75579015,1153.208231
A320,11.77829253,47.38597275,1563.622218
A320,8.037174592,31.51947026,1437.412045
A320,12.40469689,19.87380022,1864.050542
A320,5.703070823,45.49131309,1332.038703
A320,9.667290622,57.76063362,1656.786479
A320,7.046437339,46.07536554,838.0051894
A320,9.217503679,43.6019568,1604.597053
A320,7.604420584,32.95998145,1226.993787
A320,9.113434497,32.35850528,1537.944378
A320,7.243129047,29.49006831,879.0576764
A320,13.00077905,22.63965093,1676.459848
A320,10.69539271,48.10118029,1391.801679
A320,14.58525098,70.66176823,903.0736509
A320,6.520676848,58.37386748,1800.906903
A320,11.46072014,40.43802012,1184.202527
A320,11.99819279,48.30371665,1036.934366
A320,10.38126714,62.03437707,817.8777348
A320,12.83277245,77.28130672,1305.942138
A320,14.24083093,38.74121843,959.4635898
A320,9.389390298,53.70067007,1721.176032
A320,6.006033412,31.2153633,1574.269766
A320,9.231726448,54.49429096,698.2909165
A320,13.96696408,52.34512001,858.0159664
A320,8.971130226,20.55542177,1854.841077
A320,7.752070398,72.08512901,1443.895883
A320,14.21406748,57.82358168,1474.766787
A320,10.6759843,73.46025887,1535.79507
A320,14.38151145,53.97682032,1432.252162
A320,10.39592174,39.25027707,1460.983992
A320,11.94196516,41.68370833,2262.852411
A320,5.440111346,35.43959146,1102.08856
A320,7.13160246,62.65975991,1635.670842
A320,12.95787214,69.50387816,1539.748974
A320,12.70504863,40.07733165,1697.646927
A320,12.89224162,22.85771842,1278.730815
A320,11.12597648,44.82432764,1455.025824
A320,7.028864627,50.20101527,1184.975905
A320,7.179219972,73.05647185,1802.482291
A320,8.723251248,32.35317015,959.1522431
A320,7.13175647,37.69508448,1572.811646
A320,9.018416251,23.5830013,704.0031043
A320,9.957723073,59.547485,1082.908663
A320,8.527931237,41.57345395,1509.662456
A320,11.04594091,60.97379025,1301.377593
A320,13.42891292,48.70496922,1181.243128
A320,11.29711864,66.31424223,1688.140696
A320,13.94653734,32.38550865,1390.246721
A320,13.41330659,54.58509039,1213.946353
A320,10.71594555,69.80244359,1103.869788
A320,12.62055421,56.07925149,2259.442925
A320,10.09523934,54.24480418,2311.482702
A320,11.03157491,45.87920539,2021.248466
A320,10.84262614,51.2199603,838.7719088
A320,7.074941393,52.31439885,671.4083617
A320,12.80178223,58.77793924,2176.777976
A320,10.13731446,63.34642276,1843.986272
A320,10.9672487,77.1735461,1257.847254
A320,9.82742273,38.9384483,1472.883252
A320,6.631464306,70.53622352,1592.01434
A320,10.94658412,69.27720855,1060.716255
A320,7.419453969,52.89567645,2308.32653
A320,14.03594748,39.49228848,1587.1481
A320,6.988881495,59.59029919,1881.547096
A320,8.002270271,38.73417883,1242.005489
A320,14.39975977,48.3353436,694.0100859
A320,11.66105402,60.15994427,1551.649274
A320,14.07995827,40.94753433,2250.367771
A320,5.32687848,65.10189514,2041.867083
A320,6.765902083,53.64178112,2019.067323
A320,6.826724639,45.53706892,1632.440801
A320,13.27527501,38.24957728,1635.853146
A320,10.39242944,63.6054965,1741.263995
A320,8.271810362,38.07691089,1953.223076
A320,8.387142282,18.204484,2140.107776
A320,9.236681877,53.50846666,1584.331997
A320,13.3895161,76.67347789,1259.568879
A320,13.08846825,42.0277824,2134.925589
A320,11.17304965,44.36589648,1315.791588
A320,13.24788665,55.2817476,1904.620447
A320,5.3447453,66.99194162,594.1766986
A320,6.751475859,59.28790366,1021.188314
A320,11.70434899,56.9960831,1298.814587
A320,10.18207388,28.12445193,1554.074002
A320,10.85113023,62.33521308,1917.32765
A320,7.343138412,40.061982,1415.971319
A320,7.352058185,56.52973085,2123.404433
A320,7.321926247,41.66472601,1318.453475
A320,14.20249017,39.3440926,1245.375153
A320,10.65615988,31.64537333,1059.105682
A320,4.895182775,34.63285787,1282.537798
A320,7.822869274,38.27575426,1499.213697
A320,9.4455576,28.92987505,1916.695926
A320,10.7033647,63.01039395,1772.800973
A320,6.346993973,55.81199739,1367.70508
A320,14.20636681,50.74471735,741.2714631
A320,11.51839029,52.91891095,876.561443
A320,6.886748547,45.87828756,1004.516863
A320,9.543881495,30.2848674,1834.625609
A320,5.191557697,45.41857658,1992.774416
A320,9.933048256,44.76577639,1875.912037
A320,9.657844467,71.83403941,1583.261868
A320,11.75705657,52.1630344,1239.839166
A320,10.38521547,54.36713183,2052.059233
A320,7.155337653,56.55899196,1510.004145
A320,13.82970992,76.06941697,913.7424717
A320,11.90917503,47.5155416,2256.571882
A320,13.24131493,62.40682113,1369.418026
A320,11.38313375,71.64284146,2020.41389
A320,13.71016641,39.6173297,1037.372948
A320,10.65439155,65.39603745,1312.531514
A320,12.97931144,41.69340812,1571.157126
A320,10.96340623,38.82025963,1161.134727
A320,8.632592459,29.03514387,1656.007254
A320,11.96590887,37.35601653,909.2506504
A320,13.4765088,44.06802771,1763.51574
A320,10.06813841,39.34666289,1721.869287
A320,12.29395563,28.30846614,1787.738798
A320,7.889604589,73.01771537,1616.259242
A320,13.68112025,28.69947125,1510.693218
A320,6.827526667,59.34453629,1679.459202
A320,11.13090061,48.36047703,1852.119678
A320,10.53994083,81.3848063,1383.440699
A320,10.2178772,30.46672953,1643.263931
A320,5.482972352,40.54178362,1319.791802
A320,14.78076652,48.97086096,1003.307313
A320,9.138967346,70.22216815,1811.070118
A320,10.72637108,60.94305176,1131.024855
A320,6.105908869,44.90165437,1935.965024
A320,8.721507188,62.7794234,814.3831451
A320,11.4139215,56.18038584,1662.521111
A320,7.841693618,37.04440998,965.4307062
A320,11.30009392,72.39508951,1069.730264
A320,6.193226097,37.82607768,1606.23883
A320,6.486443755,35.32100946,646.3996468
A320,9.930935387,39.27131374,1258.774539
A320,9.62467554,68.91952878,1547.577916
A320,14.13974263,28.88990669,1932.57121
A320,6.05373579,32.4355582,1700.08217
A320,7.820575384,53.48875242,1136.03418
A320,6.742321379,44.50182448,796.4464365
A320,8.864016417,73.49414207,2028.429242
A320,10.7564035,68.77110993,1446.953037
A320,7.624283149,59.31644735,1049.045219
A320,12.82102515,50.62194188,1307.400562
A320,11.94345392,69.64850941,1584.642728
A320,12.50198157,43.16192925,990.3592862
A320,12.07522213,36.40324671,1209.000974
A320,10.77230822,70.86954721,1132.578069
A320,10.46274339,59.29507376,955.5046031
A320,12.86629032,24.53476489,1555.153407
A320,6.539067481,38.93086826,1406.565065
A320,5.287303586,51.71310238,1143.039939
A320,12.07115263,55.14036911,940.9926475
A320,5.972325394,59.58058381,1957.458745
A320,6.807453821,28.38680489,1540.977288
A320,13.83537283,36.48372504,1695.754524
A320,12.02387606,46.53372907,1591.18454
A320,8.004220095,59.93915114,908.0328851
A320,7.118769635,32.31347115,1238.75621
A320,12.07188115,37.75870833,1276.730982
A320,14.72990094,67.11090602,1183.201779
A320,13.2507028,52.17773426,2186.707452
A320,6.659148533,42.20200845,1357.249693
A320,11.64242482,25.44422105,1022.536359
A320,7.830824443,36.47950169,1278.651385
A320,8.000178918,35.29350267,1681.155591
A320,10.99899429,42.5622492,1220.23908
A320,12.85048637,19.64253101,973.6449799
A320,5.942235684,23.31005711,1983.638205
A320,13.03301142,58.36780115,1984.715186
A320,8.541538528,58.39666289,1133.178331
A320,11.84915876,55.46651578,1160.590871
A320,9.723952927,54.63594134,1874.348778
A320,8.913080875,43.66715952,1096.051147
A320,8.674423674,46.77434984,1803.86943
A320,9.281378828,36.84534166,1192.857166
A320,11.63446045,51.17731901,1703.276324
A320,11.34021619,56.09245652,2029.592037
A320,6.922055204,40.32072609,954.9868162
A320,5.777780722,56.35434777,1478.249721
A320,7.463623945,46.61851725,659.1195276
A320,9.76179857,60.76539147,2317.673595
A320,12.79327758,36.7225805,1072.877215
A320,10.45070301,68.99536402,1466.526545
A320,7.236343409,70.00045427,1157.742993
A320,14.69620707,49.72877908,1873.388989
A320,6.381273915,48.70491729,1618.198758
A320,10.7287434,68.13283476,1671.778582
A320,7.992393049,65.01598472,1652.503271
A320,7.673191577,73.37477697,744.1101239
A320,5.608805131,68.39144177,1235.596929
A320,12.76559197,62.53601732,1760.215253
A320,6.96293043,61.77210719,1755.404225
A320,11.5229874,38.81119528,1976.930809
A320,12.28785869,66.34847152,1524.57458
A320,5.287059653,43.98673326,459.1113505
A320,9.62008013,61.54542495,2334.25034
A320,13.13896504,59.63819176,1997.789597
A320,23.74922308,52.98277737,864.0144427
A320,14.8730967,54.6396793,1667.573059
A320,7.559162943,70.46503458,1058.861208
A320,6.9125599,38.28912966,1903.288046
A320,8.71996973,70.47726022,976.4063781
A320,6.083917879,33.29540722,1576.729748
A320,7.017996737,47.6733125,1387.02776
A320,14.01839136,37.93097294,1152.405124
A320,12.33520386,53.88058253,610.1226618
A320,10.95040899,52.94103974,2180.512089
A320,13.34533059,41.65977077,779.7071708
A320,10.13602071,55.46486132,1098.024844
A320,8.454080346,25.61222103,883.024355
A320,9.822727992,44.29938539,1957.166705
A320,9.216877941,60.33373873,1541.431092
A320,14.25955046,71.64093173,1380.613124
A320,9.902804527,55.47787949,1079.440118
A320,5.938345789,37.49618198,2127.750182
A320,11.08009777,47.62684061,2089.327372
A320,9.972377983,17.36920873,2083.201004
A320,12.51178935,57.07787205,2087.268766
A320,10.39344775,37.6223609,2146.250292
A320,5.601140597,51.5463437,998.0110274
A320,5.735944405,77.12485524,1909.984445
A320,12.26387498,21.54338963,1919.893585
A320,13.89692625,65.26631298,1336.483983
A320,13.28988435,35.17191827,1556.577254
A320,8.229629117,50.54270969,929.2890571
A320,10.55297349,75.07838565,1761.484166
A320,10.81317856,62.49451048,1788.355723
A320,10.52733057,32.94756,1387.503748
A320,9.362999445,45.62751272,2156.690336
A320,5.560189892,44.91564104,2368.073029
A320,11.3805526,39.82441825,1583.760144
A320,11.38272677,51.20703716,2075.141591
A320,13.57533649,61.32762398,1730.480577
A320,8.932626919,39.638429,1304.248647
A320,8.891444639,63.0062281,1951.448492
A320,13.10463038,32.43514746,1380.860948
A320,11.96237798,46.31829958,1058.747467
A320,12.13069722,57.7072475,1938.137402
A320,8.865884775,63.9049503,1161.904433
A320,6.401632943,45.27243349,749.5852117
A320,9.018210394,51.8528835,1106.095195
A320,6.598667616,45.51591864,1580.271865
A320,6.115697218,62.62452826,2101.391772
A320,6.619860006,66.7859756,1434.450407
A320,10.03177822,74.08286277,1141.972853
A320,9.238450411,38.97109726,1039.144256
A320,13.34388657,36.56724732,823.650495
A320,8.18331526,58.62458086,855.8026784
A320,8.434708211,38.34011597,1243.051357
A320,5.73199006,70.01981842,2411.637393
A320,13.77751428,50.70384805,1729.531622
A320,5.296549394,58.11549181,1410.558524
A320,5.913430457,65.55064814,1883.299411
A320,9.691459637,23.5859249,2370.465465
A320,9.795107725,41.45453192,1565.676605
A320,11.33968436,40.0041767,1781.263746
A320,11.31968409,59.34710535,1379.864877
A320,8.623861082,71.85039487,2186.073518
A320,12.13363053,43.51227352,855.9870215
A320,8.519276003,57.38818862,2708.851934
A320,12.81242414,49.17599866,1336.697977
A320,12.14933608,29.16519584,1211.517998
A320,8.860029977,63.87367204,1633.228376
A320,6.239114057,46.40691108,1522.233683
A320,13.41304668,64.30961081,1564.239378
A320,8.473383505,53.79620509,1241.723054
A320,10.34681011,41.46614965,967.525832
A320,12.81254902,62.19650088,1801.524562
A320,6.263215625,30.64842533,1614.248993
A320,12.7255576,63.4705853,1828.462851
A320,13.5288951,38.23528447,563.8946033
A320,6.138556543,18.83227039,2119.656094
A320,12.4156564,67.92109966,2175.560931
A320,12.22376596,29.8820222,1405.240307
A320,13.38121388,40.87149003,1166.401168
A320,6.882257096,33.13042177,944.6685445
A320,7.27939724,57.74744951,1505.866898
A320,7.975902083,33.45506571,1606.704649
A320,13.13468982,37.62650851,1937.023315
A320,13.52450444,58.20305354,1008.499958
A320,10.11086923,52.26438611,1647.830247
A320,8.548345789,37.81684911,2041.110968
A320,11.06531877,74.84686903,616.1109318
A320,5.491584119,58.83196805,1866.857489
A320,5.61673649,81.28339607,2090.607692
A320,6.905010007,41.94523869,1639.777413
A320,9.221877979,50.95791247,747.115513
A320,7.577800933,66.60619078,2253.279608
A320,5.470100825,40.59186195,1059.800067
A320,6.978560066,47.8625575,874.4513004
A320,11.06724432,34.39704541,1145.620564
A320,9.975583769,32.63450256,1349.038456
A320,8.182687909,61.91800264,2192.683194
A320,7.046211602,42.12998754,1950.780621
A320,11.43161072,56.42172079,1292.271417
A320,13.28024416,65.1578359,2184.406214
A320,8.342764237,37.19354059,1705.143876
A320,12.98937695,40.68103342,1853.7678
A320,11.85994083,41.33271842,951.6875267
A320,10.39813753,48.66682129,1394.759727
A320,9.382998685,47.68675544,1416.969496
A320,5.949064176,68.0575333,1131.338336
A320,5.06700885,37.83849068,1685.340851
A320,10.25888372,68.55823926,1493.275948
A320,4.988340298,53.82547099,1569.595806
A320,11.60420627,30.37883719,1948.889827
A320,9.943752028,32.08004923,918.6646398
A320,6.280674256,72.36221746,1398.208378
A320,12.00972433,70.98832913,2138.113386
A320,11.17635517,46.72865973,1369.75514
A320,12.04595287,72.00107354,1323.373766
A320,9.57225458,28.2210567,1892.549906
A320,7.059399065,35.53863758,1567.990843
A320,13.05084751,42.91872803,1272.694738
A320,14.65273482,67.58273114,1571.33324
A320,8.10387847,41.11657249,1613.035958
A320,14.06129156,59.48304967,1504.763839
A320,13.62533386,55.29102105,1753.508932
A320,11.40507866,41.74392936,870.0848958
A320,12.84628398,54.48720604,1076.430346
A320,10.23292679,42.19208655,840.9945933
A320,9.080347189,26.15793823,1284.623702
A320,7.713007909,57.28573795,1224.621973
A320,6.769510807,42.49385251,1423.798158
A320,14.36201527,77.71836467,1688.131621
A320,10.16502998,35.32619519,1458.04824
A320,6.510321123,63.39503537,1975.350158
A320,12.85669362,38.44078074,1904.339414
A320,11.16110067,30.69121843,1519.855266
A320,8.053481318,54.79881038,1433.870133
A320,7.863733047,60.33454678,972.9356628
A320,9.730164476,27.62991729,854.5149164
A320,11.81842468,44.54769294,1320.521432
A320,5.88373579,60.11743826,1371.84645
A320,8.871674307,42.35892926,1832.275004
A320,7.450902391,43.33904557,1526.145309
A320,9.812820416,48.61006742,1199.825869
A320,6.738087429,43.83296605,1157.369778
A320,8.607206511,65.06941697,536.5115773
A320,7.775451594,33.55102603,1544.474283
A320,9.280550391,64.25426069,1914.540583
A320,5.700433521,39.25329678,1025.899563
A320,11.87149513,29.19228325,1652.22434
A320,11.1053326,25.68483518,1837.423903
A320,11.03128658,42.39402172,2033.781945
A320,9.63537661,38.34501909,2221.635499
A320,7.580006307,60.2067542,1424.439678
A320,12.25050379,23.09063922,1985.745934
A320,6.698494307,51.28311884,1324.596425
A320,6.088011419,63.16044149,1705.517051
A320,14.29803911,69.54481842,1933.036964
A320,8.578487969,32.00947687,982.3746372
A320,13.95056756,73.59697284,1334.913788
A320,13.73817103,67.96206054,1169.891379
A320,8.319664731,49.70477153,1613.702399
A320,5.630093921,65.88298245,1114.304301
A320,12.77337189,53.49184992,962.7865367
A320,6.987240643,42.41043086,1798.097542
A320,12.83323588,24.35787722,1190.960338
A320,10.608053,36.60040009,2198.657146
A320,4.84966652,39.28191486,917.3482411
A320,12.25590035,52.08071695,1061.275932
A320,7.128108692,43.54774637,1395.226674
A320,14.73287142,31.39182399,1577.274497
A320,8.830627215,54.85044628,1521.067952
A320,6.081309372,30.11300699,1135.664133
A320,8.646120246,59.44632665,1804.082088
A320,9.036958475,73.56251297,873.3329726
A320,5.552084827,46.73884505,1173.745551
A320,10.55549364,35.844321,965.6443861
A320,10.74032201,53.19508678,1301.989031
A320,7.08180328,62.15785787,1248.493284
A320,7.27892275,52.04753753,1722.092644
A320,5.660787462,47.34081444,925.1729202
A320,6.332390911,38.9950756,1492.622307
A320,12.41746771,50.41478209,1228.151264
A320,8.318279082,64.02583319,1204.769775
A320,7.055000816,42.01737544,877.830635
A320,13.50793467,74.51848525,1345.438301
A320,9.738169476,68.15370637,2137.590872
A320,5.15724162,54.07056894,1836.835703
A320,7.309468053,70.58819176,2032.290053
A320,10.10590887,67.63810574,1097.651584
A320,14.10851151,36.50423046,1237.485486
A320,12.95045337,62.73511499,1626.350164
A320,9.378098706,49.8401892,635.3810058
A320,11.8536389,43.88803219,1674.098826
A320,13.14624642,58.82517169,2137.959434
A320,9.784055988,70.46735663,1907.205643
A320,13.66334704,41.22556179,1185.942142
A320,7.888688215,66.93969415,1733.927985
A320,9.299127699,43.10014906,1077.368055
A320,13.14280453,30.98869602,2132.005989
A320,7.242156332,61.22743867,1719.827236
A320,9.409936787,51.11287475,1438.279453
A320,12.99730359,50.16931791,1302.240141
A320,10.14844775,19.35582335,1797.130036
A320,10.98265262,61.39354119,1722.622094
A320,11.64260887,36.58168459,1502.559002
A320,10.73941168,31.2104539,2136.134677
A320,7.957384846,58.87168142,1742.075196
A320,6.935952867,62.43334231,1359.388751
A320,6.700650259,42.67544992,1988.552566
A320,8.572206835,50.32281919,893.4684936
A320,12.01670767,55.03966259,1063.772708
A320,10.70362253,45.92006937,1200.577623
A320,12.90068232,52.28404392,696.6931795
A320,12.4429209,56.50509469,1612.317608
A320,9.558444213,44.72719706,2006.352796
A320,10.35877285,45.6706758,1843.124528
A320,12.44169362,32.07898846,1598.0595
A320,5.729257215,67.3580008,997.834631
A320,8.263408227,47.55364064,981.6736607
A320,9.098273112,33.57285382,1085.023641
A320,12.50834865,30.45067007,2449.015369
A320,8.3875599,57.05803004,1159.999951
A320,11.18563387,46.92635069,970.9987638
A320,9.896199385,73.45620724,1161.555997
A320,11.9339823,49.63921774,1640.857731
A320,10.27580871,45.56047703,2117.51836
A320,13.96822095,37.870119,1978.783943
A320,7.058970168,27.26706373,1613.555678
A320,6.859989555,53.17056904,3208.511089
A320,17.65540824,32.89060507,2110.412522
A320,9.434368495,46.53359299,1354.398209
A320,9.647257096,39.60328172,1746.38595
A320,12.56176173,43.2653319,914.2319144
A320,11.01433736,64.07608389,1739.583407
A320,26.63547588,68.27358936,1696.173482
A320,10.63205819,41.62991248,974.4506577
A320,10.4966049,23.7502643,3968.293716
A320,5.505104804,33.00065434,515.9006545
A320,8.68921315,44.36672834,1827.990663
A320,13.09649624,34.99942741,1399.710623
A320,5.57456878,44.74586358,991.3095669
A320,13.271143,36.93205238,1362.209625
A320,5.917086873,30.2259346,1918.277681
A320,7.618602769,31.63725319,1215.847705
A320,12.59467904,36.11385813,1097.885836
A320,8.848768973,55.7760839,955.6093835
A320,7.741392851,21.19498987,1868.820398
A320,12.36831927,67.9828359,1797.036395
A320,10.19207398,31.73325821,1106.028927
A320,10.48271131,70.31350081,749.3951555
A320,8.695600134,57.55588182,1765.806205
A320,6.632538669,39.18662598,1268.256626
A320,13.02733574,35.59807647,1284.344798
A320,14.27967554,66.19032333,1148.114785
A320,7.353581763,47.51210641,584.3332844
A320,10.34148045,62.28160763,1132.902554
A320,9.513988502,43.13522418,1541.28973
A320,6.786903454,33.9705853,1401.234596
A320,5.849581664,53.79629786,1355.521833
A320,9.81859572,53.58612371,1867.214336
A320,8.519411873,42.67891535,1877.501526
A320,11.21899062,42.39941724,1714.883726
A320,12.09171218,44.8575333,1155.519942
A320,12.88181039,50.03837807,1630.644108
A320,9.619981109,61.40869181,1444.3547
A320,7.948468251,51.55664728,1405.98106
A320,11.71999138,61.48270641,1261.491854
A320,10.4912716,67.19816205,1344.708666
A320,7.256562448,72.16153865,1916.005011
A320,10.54792826,68.51652975,1717.740462
A320,13.0045659,59.39168807,2390.792494
A320,10.34709464,37.43229233,2187.818984
A320,7.141939741,47.26194719,1250.180078
A320,11.42585465,41.69948819,765.5710201
A320,6.686970781,45.29187454,1316.98125
A320,8.933074597,39.46584494,795.7930714
A320,5.753935128,53.37532547,1045.617822
A320,11.33703012,38.59414743,1881.705726
A320,11.79009107,68.88725783,1373.348088
A320,5.673204235,64.9231966,1538.91261
A320,13.14654171,58.65802476,1382.363689
A320,10.2211406,62.07994926,1038.672764
A320,14.48375871,51.6431919,1018.196608
A320,11.03194493,36.96058369,2029.545578
A320,6.97763483,54.92078445,1749.719194
A320,12.50595287,22.80392534,2128.536129
A320,11.52534093,45.31324208,2283.205278
A320,11.01268981,63.10326601,1679.127774
A320,6.653002318,71.1352607,1992.489378
A320,9.0664035,56.22408482,1958.951612
A320,9.550603656,28.83681932,1121.667918
A320,11.10207593,48.92949555,1603.227325
A320,11.48448297,80.1021159,2328.862961
A320,7.229674341,28.41938422,1598.029939
A320,7.853358176,79.31847617,956.1625742
A320,11.16483816,34.05404796,1505.66723
A320,8.9825599,49.86974283,1911.618283
A320,12.16657563,72.43697127,677.4208144
A320,11.92044995,62.08722431,959.0118129
A320,11.72137883,38.85606462,1276.421233
A320,9.896969194,22.22728807,1152.800024
A320,12.8196154,65.90274125,717.5898194
A320,6.850064926,65.47006479,1610.052567
A320,7.706486098,55.96194719,736.548841
A320,10.24492767,59.45522122,1394.120079
A320,5.046495713,61.39258349,1773.481165
A320,5.43083157,36.61268895,2050.338864
A320,5.45700885,52.32410058,2076.539483
A320,12.51076855,37.34486241,1169.632355
A320,7.605079828,54.94588209,1323.90331
A320,5.675734059,48.48443539,1426.774369
A320,9.254411677,22.79155493,1219.45099
A320,7.807824618,54.9631736,1121.287143
A320,7.762099227,43.42793151,1924.1213
A320,8.269207867,41.20107293,1157.221097
A320,7.64460457,34.41620625,1894.693449
A320,11.14982469,40.54026044,1389.093684
A320,13.46751787,47.143241,2041.721624
A320,11.61950188,38.34173265,1767.742033
A320,8.17029656,73.90275115,1870.623673
A320,7.819638731,36.63733148,718.2715591
A320,6.62340389,26.95536674,1827.134271
A320,8.032797856,26.95789609,1203.082574
A320,6.536218804,41.66798629,1970.303196
A320,14.4958975,19.97513072,1698.507576
A320,6.556464598,73.05035982,2171.49052
A320,6.466216796,48.02661441,1805.070996
A320,7.78508418,43.92202709,858.0028209
A320,114.6016343,38.05259088,1750.176601
A320,9.28982089,31.94433461,2022.965152
A320,9.538428776,46.32512606,1367.492737
A320,8.113251248,54.37616832,1646.693622
A320,13.34307086,73.94141818,1412.708231
A320,13.53769328,45.31158,1883.181381
A320,13.52906322,31.52720559,827.6553273
A320,10.86333237,50.40871357,1072.264855
A320,14.42729846,45.09376293,1558.321583
A320,8.955576897,29.98055376,1073.887687
A320,8.514795709,57.34735948,1478.729961
A320,11.5054258,52.99126703,1214.490431
A320,10.27659154,20.7609249,1735.571526
A320,8.346751881,48.83281005,1715.419161
A320,12.53745304,26.4603787,1691.989045
A320,9.045339386,70.89264754,1536.016149
A320,13.46362394,50.5412495,2231.384299
A320,8.345502969,55.48431114,1663.555797
A320,12.43670767,58.55446064,1881.215758
A320,12.0478016,45.0658042,2079.284715
A320,12.11602937,51.91366531,1007.181803
A320,10.37827018,61.8776447,1970.06427
A320,5.730545973,47.43079162,1317.548556
A320,6.332345688,27.63848743,1670.062098
A320,8.083220945,74.01860924,1514.25475
A320,8.587860296,50.75638348,2125.443372
